DepartamentoDelPredio,MunicipioDelPredio,CodigoDANE,NumeroDeSolicitudes,NumeroDePredios,NumeroDeTitulares
Amazonas,El Encanto,91263,10,9,7
Amazonas,La Chorrera,91405,4,4,4
Amazonas,La Pedrera,91407,4,4,2
Amazonas,La Victoria,91430,6,6,5
Amazonas,Miriti - Paraná,91460,2,2,2
Santander,Bucaramanga,68001,95,89,76
Amazonas,Tarapacá,91798,2,2,2
Antioquia,Abejorral,5002,76,67,74
Antioquia,Alejandría,5021,44,42,33
Antioquia,Amagá,5030,24,24,20
Tolima,Casabianca,73152,94,81,70
Antioquia,Angelópolis,5036,18,18,17
Antioquia,Angostura,5038,56,45,51
Cundinamarca,Pacho,25513,118,118,71
Antioquia,Anza,5044,22,22,21
Magdalena,El Banco,47245,54,53,51
Antioquia,Armenia,5059,23,23,17
Antioquia,Barbosa,5079,61,56,53
Antioquia,Bello,5088,199,167,171
Antioquia,Belmira,5086,9,9,7
Antioquia,Betania,5091,69,67,56
Bolívar,Santa Rosa Del Sur,13688,158,153,141
Antioquia,Caicedo,5125,15,13,11
Antioquia,Caldas,5129,27,22,27
Antioquia,Mutatá,5480,763,740,665
Córdoba,Ure,23682,427,405,387
Antioquia,Caracolí,5142,6,6,6
Antioquia,Caramanta,5145,22,17,21
Chocó,Acandí,27006,178,153,169
Antioquia,Carolina,5150,3,3,3
Cauca,Argelia,19050,502,461,461
Antioquia,Cisneros,5190,3,3,3
Santander,Barbosa,68077,10,10,9
Valle Del Cauca,La Unión,76400,22,22,20
Antioquia,Concepción,5206,34,34,28
Antioquia,Concordia,5209,41,41,36
Cauca,La Vega,19397,379,350,335
Antioquia,Don Matías,5237,9,9,7
Antioquia,Ebéjico,5240,8,7,7
Putumayo,Mocoa,86001,215,204,203
Antioquia,El Carmen De Viboral,5148,185,168,157
Antioquia,Entrerrios,5264,13,13,10
Antioquia,Envigado,5266,14,14,14
Antioquia,Fredonia,5282,20,17,15
Antioquia,Giraldo,5306,21,21,21
Antioquia,Girardota,5308,55,48,55
Antioquia,Gómez Plata,5310,25,25,24
Bolívar,Río Viejo,13600,59,56,53
Antioquia,Urrao,5847,251,236,210
Antioquia,Guatapé,5321,23,22,20
Antioquia,Heliconia,5347,82,62,75
Antioquia,Hispania,5353,2,0,2
Antioquia,Itaguí,5360,30,29,24
Caquetá,Curillo,18205,273,266,263
Antioquia,Jardín,5364,8,6,7
Antioquia,Jericó,5368,8,8,8
Antioquia,La Ceja,5376,11,11,9
Antioquia,La Estrella,5380,12,12,12
Antioquia,La Pintada,5390,10,9,7
Antioquia,La Unión,5400,48,27,37
Antioquia,Liborina,5411,11,11,11
Antioquia,Maceo,5425,103,92,91
Antioquia,Marinilla,5440,11,11,11
Meta,Vistahermosa,50711,1017,953,894
Antioquia,Murindó,5475,12,11,12
Antioquia,MEDELLÍN,5001,1198,1103,1097
Caldas,Manzanares,17433,46,42,36
Antioquia,Olaya,5501,7,7,6
Antioquia,Peñol,5541,34,29,32
Antioquia,Peque,5543,52,48,48
Antioquia,Puerto Berrío,5579,93,90,82
Antioquia,Puerto Triunfo,5591,85,81,73
Tolima,Rovira,73624,312,287,261
Cesar,Pueblo Bello,20570,277,258,235
Antioquia,Rionegro,5615,25,24,22
Santander,California,68132,8,6,8
Antioquia,San Jerónimo,5656,24,23,21
Antioquia,San José De La Montaña,5658,2,2,2
Cauca,Timbiquí,19809,106,94,99
Antioquia,San Pedro,5664,10,10,7
Magdalena,Tenerife,47798,194,182,183
Caquetá,La Montañita,18410,572,547,544
Antioquia,Santa Bárbara,5679,30,27,30
Antioquia,Santa Rosa De Osos,5686,27,26,22
Antioquia,Santafé De Antioquia,5042,32,29,27
Antioquia,Santo Domingo,5690,86,85,75
Caquetá,Cartagena Del Chairá,18150,1154,1126,1104
Antioquia,Sopetrán,5761,13,13,12
Antioquia,Támesis,5789,79,75,74
Antioquia,Titiribí,5809,3,3,3
Antioquia,Uramita,5842,48,37,39
Antioquia,El Santuario,5697,25,24,21
Antioquia,Valparaíso,5856,5,5,5
Santander,San Andrés,68669,13,13,13
Antioquia,Venecia,5861,14,14,14
Antioquia,Vigía Del Fuerte,5873,43,43,37
Antioquia,Yalí,5885,51,39,42
Amazonas,Puerto Santander,91669,21,18,18
Meta,Restrepo,50606,26,25,23
Santander,Molagavita,68468,7,7,6
Norte Santander,Toledo,54820,43,42,41
Cesar,Bosconia,20060,83,77,77
Atlántico,Baranoa,8078,7,7,7
Atlántico,Barranquilla,8001,181,176,156
Atlántico,Campo De La Cruz,8137,4,4,1
Atlántico,Candelaria,8141,1,1,1
Atlántico,Galapa,8296,8,7,8
Atlántico,Juan De Acosta,8372,8,8,8
Atlántico,Luruaco,8421,17,17,11
Magdalena,El Retén,47268,21,14,20
Atlántico,Manatí,8436,12,12,12
Atlántico,Palmar De Varela,8520,2,2,2
Atlántico,Piojó,8549,95,82,89
Atlántico,Polonuevo,8558,6,5,6
Atlántico,Ponedera,8560,134,101,94
Atlántico,Puerto Colombia,8573,10,10,10
Atlántico,Repelón,8606,45,42,39
Atlántico,Sabanagrande,8634,4,4,4
Atlántico,Sabanalarga,8638,23,18,21
Atlántico,Santo Tomás,8685,2,2,2
Antioquia,Betulia,5093,91,83,72
Atlántico,Suan,8770,3,3,2
Atlántico,Usiacurí,8849,2,2,2
Bolívar,Achí,13006,140,135,128
Bolívar,Altos Del Rosario,13030,49,43,43
Bolívar,Arjona,13052,130,44,125
Bolívar,Arroyohondo,13062,16,15,14
Bolívar,Barranco De Loba,13074,69,65,60
Antioquia,Caucasia,5154,518,505,484
Cesar,Astrea,20032,104,103,95
Bolívar,Cicuco,13188,1,1,1
Bolívar,Clemencia,13222,35,35,31
Antioquia,Montebello,5467,525,499,474
Norte Santander,San Calixto,54670,108,104,97
Bolívar,El Guamo,13248,73,68,54
Bolívar,El Peñón,13268,6,6,6
Bolívar,Magangué,13430,32,31,27
Cesar,La Gloria,20383,575,505,548
La Guajira,Villanueva,44874,90,84,78
Bolívar,Montecristo,13458,100,97,94
Meta,Mapiripán,50325,1624,1543,1413
Bolívar,Pinillos,13549,25,20,23
Bolívar,Regidor,13580,43,38,41
Antioquia,Necoclí,5490,864,820,776
Bolívar,San Cristóbal,13620,12,12,12
Bolívar,San Estanislao,13647,56,54,52
Bolívar,San Fernando,13650,2,2,2
Santander,El Carmen De Chucurí,68235,414,388,362
Bolívar,San Martín De Loba,13667,101,100,96
Bolívar,Santa Catalina,13673,18,17,12
Bolívar,Santa Rosa,13683,23,23,19
Córdoba,Montería,23001,1455,1335,1286
Bolívar,Soplaviento,13760,4,4,4
Bolívar,Talaigua Nuevo,13780,5,4,5
Bolívar,Tiquisio,13810,125,114,115
Bolívar,Turbaco,13836,96,88,66
